city_combined,country
tarawa|teaoraereke,Kiribati
pyongyang|hŭngnam|hungnam|ch’ŏngjin|ch'ongjin|hamhŭng|hamhung|sunch’ŏn|sunch'on|wŏnsan|wonsan|sinŭiju|sinuiju|tanch’ŏn|tanch'on|kaesŏng|kaesong|kaech’ŏn|kaech'on|namp’o|namp'o|sariwŏn|sariwon|kanggye|haeju|anju|p’yŏng-dong|p'yong-dong|rajin|kusŏng|kusong|hyesan|chŏngju|chongju|chaedŏk|chaedok|hŭich’ŏn|huich'on|hoeryŏng|hoeryong|sinpo|songnim|munch’ŏn|munch'on|manpo|p’yŏngsŏng|p'yongsong|namsan|ongjang|p’yŏngsan|p'yongsan|sŏnbong|sonbong|changyŏn|changyon|sil-li|ch’osan-ŭp|ch'osan-up|p’ungsan|p'ungsan|taedong,"Korea, North"
seoul|busan|incheon|daegu|gwangju|daejeon|suwon|ulsan|goyang|changwon|sŏngnam|songnam|bucheon|cheongju|hwasu-dong|jeonju|ansan|ch’ŏnan|ch'onan|yanggok|anyang|pohang|pyeongtaek|jeju|masan|uijeongbu|paju|gimpo|yeosu|chinju|wŏnju|wonju|gwangmyeongni|asan|iksan|yangsan|kunp’o|kunp'o|chuncheon|gyeongsan|kunsan|suncheon|kyŏngju|kyongju|mokpo|gangneung|osan|chungju|ich’ŏn|ich'on|anseong|guri|sŏsan|sosan|pocheon|andong|ŭiwang|uiwang|hanam|seogwipo|gwangyang|ch’ungmu|ch'ungmu|chech’ŏn|chech'on|noksan|sa-ch’on|sa-ch'on|yŏju|yoju|yŏngju|yongju|miryang|sangju|boryeong|sejong|hongseong|muan|bakjagol|sokcho|ulchin|eumseong,"Korea, South"
pristina|prizren|ferizaj|pejë|peje|gjakovë|gjakove|gjilan|podujevë|podujeve|mitrovicë|mitrovice|vushtrri|suharekë|suhareke|lipjan|rahovec|malishevë|malisheve|skenderaj|viti|deçan|decan|istog|klinë|kline|kamenicë|kamenice|dragash|fushë kosovë|fushe kosove|kaçanik|kacanik|shtime|obiliq|leposaviq|zveçan|zvecan|zubin potok|shtërpcë|shterpce|graçanicë|gracanice|novobërdë|novoberde|hani i elezit|junik|ranillug|mamushë|mamushe|partesh|kllokot|gllogovc|kojskë|kojske|vranjak|matiçan|matican|pozharan|dushanovë|dushanove|donje žabare|donje zabare|lubizhdë|lubizhde|zhur|bresje|korishë|korishe|vitomiricë|vitomirice|damjan,Kosovo
kuwait city|al jahrā’|al jahra'|abū ḩulayfah|abu hulayfah|al aḩmadī|al ahmadi|al wafrah,Kuwait
bishkek|osh|jalal-abad|karakol|talas|naryn|batken|kara-balta|tokmok|özgön|ozgon|balykchy|kyzyl-kyya|toktogul|kant|kara-suu|belovodskoe|jangy-nookat|lebedinovka|mayluu-suu|tash-kömür|tash-komur|kara-köl|kara-kol|novopavlovka|isfana|at-bashy|kochkor-ata|kök-janggak|kok-janggak|kerben|sülüktü|suluktu|alamedin|cholpon-ata|aydarken|shopokov|bosteri|chaek|klyuchevka|grigor’evka|grigor'evka|tash-döbö|tash-dobo,Kyrgyzstan
vientiane|savannakhet|pakxé|pakxe|thakhèk|thakhek|louangphabang|xam nua|attapu|ban houayxay|xaignabouli|phôngsali|phongsali|salavan|louang namtha|phôn-hông|phon-hong|phônsavan|phonsavan|pakxan|xai|xékong|xekong|anouvông|anouvong|champasak|xiangkhoang,Laos
riga|daugavpils|liepāja|liepaja|jelgava|jūrmala|jurmala|ventspils|rēzekne|rezekne|valmiera|ogre|jēkabpils|jekabpils|salaspils|mārupe|marupe|tukums|cēsis|cesis|sigulda|olaine|kuldīga|kuldiga|bauska|saldus|talsi|dobele|ludza|ikšķile|ikskile|krāslava|kraslava|ādaži|adazi|aizkraukle|līvāni|livani|gulbene|limbaži|limbazi|madona|alūksne|aluksne|preiļi|preili|lielvārde|lielvarde|balvi|iecava|ķekava|kekava|smiltene|carnikava|valka|ozolnieki|aizpute|piņķi|pinki|baldone|grobiņa|grobina|kandava|ulbroka|saulkrasti|pļaviņas|plavinas|brocēni|broceni|viļāni|vilani|rūjiena|rujiena|salacgrīva|salacgriva|koknese|skrīveri|skriveri|auce|priekuļi|priekuli|ilūkste|ilukste|roja|ķegums|kegums|garkalne|vecumnieki|inčukalns|incukalns|kārsava|karsava|skrunda|dagda|priekule|mālpils|malpils|jaunjelgava|varakļāni|varaklani|ērgļi|ergli|ropaži|ropazi|vaiņode|vainode|viesīte|viesite|lubāna|lubana|dundaga|mērsrags|mersrags|zilupe|cesvaine|rauna|viļaka|vilaka|ragana|mazsalaca|aloja|līgatne|ligatne|aknīste|akniste|nereta|strenči|strenci|nīca|nica|kocēni|koceni|jaunpiebalga|pāvilosta|pavilosta|aglona|ape|jaunpils|riebiņi|riebini|pilsrundāle|pilsrundale|alsunga|naukšēni|naukseni|smārde|smarde|rucava|rugāji|rugaji|vecpiebalga|mūrmuiža|murmuiza|baltinava|burtnieki|lieģi|liegi|stalbe|tērvete|tervete|loja|cibla|vecvārkava|vecvarkava|drabeši|drabesi|sala|baloži|balozi,Latvia
beirut|tripoli|sidon|tyre|zahlé|zahle|joünié|jounie|nabatîyé|nabatiye|baalbek|baabda|halba|el qâa|el qaa|amioûn|amioun,Lebanon
maseru|teyateyaneng|mafeteng|leribe|mohale’s hoek|mohale's hoek|quthing|butha-buthe|mokhotlong|thaba-tseka|qacha’s nek|qacha's nek|maputsoe,Lesotho
monrovia|gbarnga|kakata|harper|voinjama|zwedru|robertsport|sanniquellie|greenville|bensonville|barclayville|cestos city|buchanan|tubmanburg|fish town|bopolu|upper buchanan,Liberia
tripoli|benghazi|mişrātah|misratah|al bayḑā’|al bayda'|al khums|az zāwīyah|az zawiyah|gharyān|gharyan|al marj|ajdābiyā|ajdabiya|tobruk|darnah|sabhā|sabha|şabrātah|sabratah|zuwārah|zuwarah|surt|nālūt|nalut|murzuq|ghāt|ghat|hūn|hun|al ‘azīzīyah|al `aziziyah|awbārī|awbari|idrī|idri|al kufrah|yafran|banī walīd|bani walid|tājūrā’|tajura'|birāk|birak|shaḩḩāt|shahhat|mizdah|al jawf|ghadāmis|ghadamis|awjilah|qamīnis|qaminis|tajarhī|tajarhi|al ‘uqaylah|al `uqaylah|marādah|maradah|al jaghbūb|al jaghbub|daraj|tmassah|umm al ‘abīd|umm al `abid|as sidrah|zillah,Libya
vaduz|schaan|mauren|eschen|triesenberg|ruggell|gamprin|schellenberg|planken|balzers|triesen,Liechtenstein
vilnius|kaunas|klaipėda|klaipeda|šiauliai|siauliai|panevėžys|panevezys|alytus|marijampolė|marijampole|mažeikiai|mazeikiai|utena|jonava|kėdainiai|kedainiai|telšiai|telsiai|tauragė|taurage|ukmergė|ukmerge|visaginas|plungė|plunge|kretinga|šilutė|silute|palanga|radviliškis|radviliskis|rokiškis|rokiskis|druskininkai|elektrėnai|elektrenai|biržai|birzai|jurbarkas|vilkaviškis|vilkaviskis|joniškis|joniskis|anykščiai|anyksciai|varėna|varena|prienai|kelmė|kelme|naujoji akmenė|naujoji akmene|šalčininkai|salcininkai|pasvalys|zarasai|kupiškis|kupiskis|kazlų rūda|kazlu ruda|molėtai|moletai|skuodas|šakiai|sakiai|šilalė|silale|pakruojis|trakai|švenčionys|svencionys|kalvarija|lazdijai|rietavas|nida|birštonas|birstonas|širvintos|sirvintos|pagėgiai|pagegiai|kaišiadorys|kaisiadorys|raseiniai|ignalina|gargždai|gargzdai|kuršėnai|kursenai|grigiškės|grigiskes|lentvaris|garliava|pabradė|pabrade|domeikava,Lithuania
luxembourg|esch-sur-alzette|diekirch|echternach|remich|grevenmacher|capellen|wiltz|vianden|mersch|clervaux|redange-sur-attert|rumelange|steinfort|mondorf-les-bains|bascharage,Luxembourg
macau,Macau
skopje|tetovo|bitola|kumanovo|prilep|ohrid|strumica|veles|štip|stip|kavadarci|gostivar|kočani|kocani|kičevo|kicevo|struga|radoviš|radovis|gevgelija|debar|kriva palanka|sveti nikole|negotino|delčevo|delcevo|vinica|probištip|probistip|aračinovo|aracinovo|berovo|kratovo|sopište|sopiste|bogovinje|bogdanci|studeničani|studenicani|kruševo|krusevo|vrapčište|vrapciste|valandovo|želino|zelino|tearce|makedonski brod|demir kapija|pehčevo|pehcevo|brvenica|novo selo|petrovec|vevčani|vevcani|lipkovo|demir hisar|plasnica|rosoman|mogila|krivogaštani|krivogastani|zrnovci|vasilevo|gradsko|bosilovo|staro nagoričane|staro nagoricane|rankovce|novaci|konče|konce|obleševo|oblesevo|jegunovce|belčišta|belcista|lozovo|dolneni|rostuša|rostusa|centar župa|centar zupa|zelenikovo|čučer-sandevo|cucer-sandevo|karbinci|star dojran|ilinden|makedonska kamenica|resen|dračevo|dracevo|radišani|radisani|čegrane|cegrane|labuništa|labunista|velešta|velesta|batinci|čelopek|celopek,Macedonia
antananarivo|antsirabe|toamasina|fianarantsoa|mahajanga|toliara|antsiranana|antalaha|sambava|ambatondrazaka|maroantsetra|morondava|marovoay|ambanja|mananjary|farafangana|andoany|antsohihy|miandrivazo|tôlan̈aro|tolanaro|ihosy|morombe|iharan̈a|iharana|maintirano|mandritsara|bekily|manja|besalampy|androka,Madagascar
blantyre|lilongwe|mzuzu|zomba|salima|nkhotakota|mangochi|karonga|nkhata bay|mzimba|mulanje|nsanje|mchinji|dedza|chitipa|mwanza|ntcheu|thyolo|rumphi|balaka|chiradzulu|phalombe|machinga|chikwawa|kasungu|dowa|neno|ntchisi|chiromo,Malawi
kuala lumpur|klang|ipoh|butterworth|johor bahru|george town|petaling jaya|kuantan|shah alam|kota bharu|melaka|kota kinabalu|seremban|sandakan|sungai petani|kuching|kuala terengganu|sibu|taiping|miri|alor setar|bukit mertajam|lahad datu|muar|kluang|bintulu|batu pahat|tawau|teluk intan|cukai|putrajaya|kangar|labuan|raub|kuala lipis,Malaysia
male|un’goofaaru|un'goofaaru|naifaru|mahibadhoo|eydhafushi|thinadhoo|funadhoo|kulhudhuffushi|dhihdhoo|kudahuvadhoo|rasdhoo|thulusdhoo|viligili|hithadhoo|veymandoo|felidhoo|nilandhoo|foammulah|muli|fonadhoo|manadhoo,Maldives
bamako|sikasso|ségou|segou|mopti|koutiala|kayes|gao|timbuktu|koulikoro|kidal|kati|markala|kita|san|bougouni|djenné|djenne|banamba|bourèm guindou|bourem guindou|bafoulabé|bafoulabe|ménaka|menaka|nara|kangaba|nioro|goundam|aguelhok|tessalit|sokolo|yélimané|yelimane|araouane|taoudenni|satadougou,Mali
valletta|birkirkara|sliema|mosta|saint paul’s bay|saint paul's bay|fgura|qormi|żabbar|zabbar|tarxien|marsaskala|imsida|gżira|gzira|swieqi|żejtun|zejtun|santa venera|attard|rabat|żurrieq|zurrieq|birżebbuġa|birzebbuga|mellieħa|mellieha|ħamrun|hamrun|senglea|pietà|pieta|siġġiewi|siggiewi|cospicua|balzan|ta’ xbiex|ta' xbiex|marsa|luqa|vittoriosa|għaxaq|ghaxaq|lija|xagħra|xaghra|pembroke|nadur|iklin|floriana|kalkara|imqabba|san ġwann|san gwann|gudja|marsaxlokk|dingli|kirkop|għargħur|gharghur|san ġiljan|san giljan|xewkija|imġarr|imgarr|imtarfa|xgħajra|xghajra|qrendi|għajnsielem|ghajnsielem|safi|sannat|qala|kerċem|kercem|victoria|munxar|fontana|paola|għarb|gharb|żebbuġ|zebbug|naxxar|san lawrenz|imdina|għasri|ghasri|santa luċija|santa lucija,Malta
majuro,Marshall Islands
fort-de-france,Martinique
nouakchott|néma|nema|nouadhibou|kiffa|zouerate|rosso|atar|tidjikja|aleg|arafat|tevragh zeina|dar naim|aioun|sélibaby|selibaby|akjoujt|kaédi|kaedi|boutilimit|bogué|bogue|timbedgha|chegga|fdérik|fderik|bîr mogreïn|bir mogrein,Mauritania
port louis|curepipe|quartier militaire|centre de flacq|port mathurin|cap malheureux,Mauritius
mamoudzou,Mayotte
